Fecha;Acciones USA;Acciones Europa;Acciones EM;Renta Fija Global IG;Renta Fija Global HY;Renta Fija EM;Money Market;Real Estate;Infrastructure;Oro;Commodities;Inflacion
31/05/2005;81,146;22,634;15,062;3,004;25,919;42,991;105,765;11,315;15,672;41,650;34,334;193,600
30/06/2005;80,943;22,938;15,660;3,029;26,436;43,755;106,025;11,753;16,327;43,440;34,826;193,700
31/07/2005;84,379;23,571;16,863;3,013;26,789;43,649;106,308;12,334;16,488;42,820;36,294;194,900
31/08/2005;83,588;24,241;17,086;3,043;26,950;44,539;106,606;12,212;16,745;43,400;38,910;196,100
30/09/2005;83,902;24,559;18,564;3,028;26,978;45,428;106,881;12,467;17,466;46,700;40,603;198,800
31/10/2005;82,266;24,049;17,388;3,009;26,766;44,721;107,212;12,094;16,576;46,400;37,931;199,100
30/11/2005;85,882;24,259;18,394;3,024;26,956;45,461;107,563;12,527;16,690;49,100;37,905;198,100
31/12/2005;85,265;24,639;19,301;3,049;27,283;46,383;107,916;13,047;17,051;51,580;38,986;198,100
31/01/2006;87,776;26,884;22,288;3,047;27,756;46,957;108,301;13,912;18,053;56,700;39,560;199,300
28/02/2006;88,278;26,798;21,430;3,055;28,088;48,150;108,696;14,226;18,314;56,070;36,955;199,400
31/03/2006;89,380;27,875;21,894;3,029;28,114;47,176;109,109;14,872;18,160;58,100;37,630;199,700
30/04/2006;90,869;29,331;23,321;3,018;28,267;47,165;109,518;14,801;18,946;65,090;40,038;200,700
31/05/2006;88,132;28,471;20,722;3,028;28,109;46,013;109,943;14,299;19,015;64,230;40,246;201,300
30/06/2006;87,973;28,759;20,766;3,027;28,023;46,049;110,350;14,817;19,117;61,230;39,461;201,800
31/07/2006;88,757;29,057;21,253;3,063;28,503;47,751;110,802;15,349;19,541;63,160;40,554;202,900
31/08/2006;90,694;29,999;21,589;3,109;29,021;49,019;111,264;15,928;20,138;62,290;38,924;203,800
30/09/2006;92,735;30,336;21,401;3,131;29,352;49,222;111,681;16,286;20,339;59,470;36,437;202,800
31/10/2006;96,079;31,456;22,912;3,148;29,820;50,193;112,152;17,211;21,051;60,240;37,999;201,900
30/11/2006;97,989;32,638;24,283;3,175;30,271;50,878;112,629;18,079;22,352;64,390;39,912;202,000
31/12/2006;98,749;32,763;25,249;3,160;30,613;51,247;113,065;18,573;22,876;63,210;37,929;203,100
31/01/2007;100,793;34,168;25,638;3,159;30,862;51,024;113,526;19,466;23,007;64,830;37,835;203,437
28/02/2007;98,816;33,744;24,808;3,198;31,273;51,941;114,010;19,606;23,307;66,480;38,955;204,226
31/03/2007;99,566;35,003;26,131;3,197;31,370;52,531;114,481;19,729;24,289;65,740;39,171;205,288
30/04/2007;104,389;37,016;27,105;3,207;31,730;52,975;114,929;19,878;25,272;67,090;39,457;205,904
31/05/2007;107,930;37,806;28,477;3,185;31,883;52,716;115,377;20,040;25,915;65,540;39,345;206,755
30/06/2007;105,895;37,673;29,525;3,174;31,329;51,547;115,781;18,574;25,428;64,270;38,649;207,234
31/07/2007;103,022;36,602;29,736;3,206;30,102;51,083;116,265;17,653;25,108;65,790;39,282;207,603
31/08/2007;104,344;36,700;30,045;3,242;31,648;51,884;116,647;18,168;25,145;66,520;37,714;207,667
30/09/2007;107,872;38,596;33,522;3,257;32,585;53,131;116,975;19,253;26,547;73,510;40,604;208,547
31/10/2007;109,854;40,427;37,501;3,284;32,738;54,490;117,359;19,751;28,180;78,620;41,805;209,190
30/11/2007;105,599;38,907;34,632;3,321;32,359;54,229;117,709;18,227;27,511;77,320;40,375;210,834
31/12/2007;103,858;36,927;33,713;3,328;32,160;54,553;117,976;17,281;27,322;82,460;42,133;211,445
31/01/2008;98,097;34,678;31,099;3,383;31,951;54,926;118,136;16,545;25,135;91,400;43,801;212,174
29/02/2008;95,562;34,576;31,719;3,393;31,143;54,777;118,338;16,244;25,487;96,180;49,094;212,687
31/03/2008;94,241;35,030;30,528;3,391;31,448;54,809;118,457;15,991;25,091;90,410;45,922;213,448
30/04/2008;99,221;36,466;33,318;3,373;32,508;55,482;118,572;17,079;26,178;86,650;47,506;213,942
